title,abstract,field,
MiniDisc: Minimal Distillation Schedule for Language Model Compression,"Recent studies have uncovered that language model distillation is less
effective when facing a large capacity gap between the teacher and the student,
and introduced teacher assistant-based distillation to bridge the gap. As a
connection, the scale and the performance of the teacher assistant is of vital
importance to bring the knowledge from the teacher to the student. However,
existing teacher assistant-based methods require maximally many trials before
scheduling an optimal teacher assistant. To this end, we propose a minimal
distillation schedule (MiniDisc) for scheduling the optimal teacher assistant
in minimally one trial. In particular, motivated by the finding that the
performance of the student is positively correlated to the scale-performance
tradeoff of the teacher assistant, MiniDisc is designed with a
$\lambda$-tradeoff to measure the optimality of the teacher assistant without
trial distillation to the student. MiniDisc then can schedule the optimal
teacher assistant with the best $\lambda$-tradeoff in a sandwich framework.
MiniDisc is evaluated with an extensive set of experiments on GLUE.
Experimental results demonstrate the improved efficiency our MiniDisc compared
to several state-of-the-art baselines. We further apply MiniDisc to a language
model with billions of parameters and show its scalability.",language model distillation,
Language and Culture Internalisation for Human-Like Autotelic AI,"Building autonomous agents able to grow open-ended repertoires of skills
across their lives is a fundamental goal of artificial intelligence (AI). A
promising developmental approach recommends the design of intrinsically
motivated agents that learn new skills by generating and pursuing their own
goals - autotelic agents. But despite recent progress, existing algorithms
still show serious limitations in terms of goal diversity, exploration,
generalisation or skill composition. This perspective calls for the immersion
of autotelic agents into rich socio-cultural worlds, an immensely important
attribute of our environment that shapes human cognition but is mostly omitted
in modern AI. Inspired by the seminal work of Vygotsky, we propose Vygotskian
autotelic agents - agents able to internalise their interactions with others
and turn them into cognitive tools. We focus on language and show how its
structure and informational content may support the development of new
cognitive functions in artificial agents as it does in humans. We justify the
approach by uncovering several examples of new artificial cognitive functions
emerging from interactions between language and embodiment in recent works at
the intersection of deep reinforcement learning and natural language
processing. Looking forward, we highlight future opportunities and challenges
for Vygotskian Autotelic AI research, including the use of language models as
cultural models supporting artificial cognitive development.",autonomous agents,
Learning with Signatures,"In this work we investigate the use of the Signature Transform in the context
of Learning. Under this assumption, we advance a supervised framework that
potentially provides state-of-the-art classification accuracy with the use of
few labels without the need of credit assignment and with minimal or no
overfitting. We leverage tools from harmonic analysis by the use of the
signature and log-signature, and use as a score function RMSE and MAE Signature
and log-signature. We develop a closed-form equation to compute probably good
optimal scale factors, as well as the formulation to obtain them by
optimization. Techniques of Signal Processing are addressed to further
characterize the problem. Classification is performed at the CPU level orders
of magnitude faster than other methods. We report results on AFHQ, MNIST and
CIFAR10, achieving 100% accuracy on all tasks assuming we can determine at test
time which probably good optimal scale factor to use for each category.",signature transform,
Where and What: Driver Attention-based Object Detection,"Human drivers use their attentional mechanisms to focus on critical objects
and make decisions while driving. As human attention can be revealed from gaze
data, capturing and analyzing gaze information has emerged in recent years to
benefit autonomous driving technology. Previous works in this context have
primarily aimed at predicting ""where"" human drivers look at and lack knowledge
of ""what"" objects drivers focus on. Our work bridges the gap between
pixel-level and object-level attention prediction. Specifically, we propose to
integrate an attention prediction module into a pretrained object detection
framework and predict the attention in a grid-based style. Furthermore,
critical objects are recognized based on predicted attended-to areas. We
evaluate our proposed method on two driver attention datasets, BDD-A and
DR(eye)VE. Our framework achieves competitive state-of-the-art performance in
the attention prediction on both pixel-level and object-level but is far more
efficient (75.3 GFLOPs less) in computation.",object detection,
Correcting diacritics and typos with a ByT5 transformer model,"Due to the fast pace of life and online communications and the prevalence of
English and the QWERTY keyboard, people tend to forgo using diacritics, make
typographical errors (typos) when typing in other languages. Restoring
diacritics and correcting spelling is important for proper language use and the
disambiguation of texts for both humans and downstream algorithms. However,
both of these problems are typically addressed separately: the state-of-the-art
diacritics restoration methods do not tolerate other typos, but classical
spellcheckers also cannot deal adequately with all the diacritics missing. In
this work, we tackle both problems at once by employing the newly-developed
universal ByT5 byte-level seq2seq transformer model that requires no
language-specific model structures. For a comparison, we perform diacritics
restoration on benchmark datasets of 12 languages, with the addition of
Lithuanian. The experimental investigation proves that our approach is able to
achieve results (> 98%) comparable to the previous state-of-the-art, despite
being trained less and on fewer data. Our approach is also able to restore
diacritics in words not seen during training with > 76% accuracy. Our
simultaneous diacritics restoration and typos correction approach reaches > 94%
alpha-word accuracy on the 13 languages. It has no direct competitors and
strongly outperforms classical spell-checking or dictionary-based approaches.
We also demonstrate all the accuracies to further improve with more training.
Taken together, this shows the great real-world application potential of our
suggested methods to more data, languages, and error classes.",typos correction,
Egocentric Video Task Translation,"Different video understanding tasks are typically treated in isolation, and
even with distinct types of curated data (e.g., classifying sports in one
dataset, tracking animals in another). However, in wearable cameras, the
immersive egocentric perspective of a person engaging with the world around
them presents an interconnected web of video understanding tasks -- hand-object
manipulations, navigation in the space, or human-human interactions -- that
unfold continuously, driven by the person's goals. We argue that this calls for
a much more unified approach. We propose EgoTask Translation (EgoT2), which
takes a collection of models optimized on separate tasks and learns to
translate their outputs for improved performance on any or all of them at once.
Unlike traditional transfer or multi-task learning, EgoT2's flipped design
entails separate task-specific backbones and a task translator shared across
all tasks, which captures synergies between even heterogeneous tasks and
mitigates task competition. Demonstrating our model on a wide array of video
tasks from Ego4D, we show its advantages over existing transfer paradigms and
achieve top-ranked results on four of the Ego4D 2022 benchmark challenges.",egocentric video understanding,
ROCK: Causal Inference Principles for Reasoning about Commonsense Causality,"Commonsense causality reasoning (CCR) aims at identifying plausible causes
and effects in natural language descriptions that are deemed reasonable by an
average person. Although being of great academic and practical interest, this
problem is still shadowed by the lack of a well-posed theoretical framework;
existing work usually relies on deep language models wholeheartedly, and is
potentially susceptible to confounding co-occurrences. Motivated by classical
causal principles, we articulate the central question of CCR and draw parallels
between human subjects in observational studies and natural languages to adopt
CCR to the potential-outcomes framework, which is the first such attempt for
commonsense tasks. We propose a novel framework, ROCK, to Reason O(A)bout
Commonsense K(C)ausality, which utilizes temporal signals as incidental
supervision, and balances confounding effects using temporal propensities that
are analogous to propensity scores. The ROCK implementation is modular and
zero-shot, and demonstrates good CCR capabilities.",commonsense causality reasoning,
Romantic-Computing,"In this paper we compare various text generation models' ability to write
poetry in the style of early English Romanticism. These models include:
Character-Level Recurrent Neural Networks with Long Short-Term Memory, Hugging
Face's GPT-2, OpenAI's GPT-3, and EleutherAI's GPT-NEO. Quality was measured
based syllable count and coherence with the automatic evaluation metric GRUEN.
Character-Level Recurrent Neural Networks performed far worse compared to
transformer models. And, as parameter-size increased, the quality of
transformer models' poems improved. These models are typically not compared in
a creative context, and we are happy to contribute.",poetry generation,
End-to-End Multi-View Structure-from-Motion with Hypercorrelation Volumes,"Image-based 3D reconstruction is one of the most important tasks in Computer
Vision with many solutions proposed over the last few decades. The objective is
to extract metric information i.e. the geometry of scene objects directly from
images. These can then be used in a wide range of applications such as film,
games, virtual reality, etc. Recently, deep learning techniques have been
proposed to tackle this problem. They rely on training on vast amounts of data
to learn to associate features between images through deep convolutional neural
networks and have been shown to outperform traditional procedural techniques.
In this paper, we improve on the state-of-the-art two-view
structure-from-motion(SfM) approach of [11] by incorporating 4D correlation
volume for more accurate feature matching and reconstruction. Furthermore, we
extend it to the general multi-view case and evaluate it on the complex
benchmark dataset DTU [4]. Quantitative evaluations and comparisons with
state-of-the-art multi-view 3D reconstruction methods demonstrate its
superiority in terms of the accuracy of reconstructions.",Image-based 3D reconstruction,
Automated Imbalanced Learning,"Automated Machine Learning has grown very successful in automating the
time-consuming, iterative tasks of machine learning model development. However,
current methods struggle when the data is imbalanced. Since many real-world
datasets are naturally imbalanced, and improper handling of this issue can lead
to quite useless models, this issue should be handled carefully. This paper
first introduces a new benchmark to study how different AutoML methods are
affected by label imbalance. Second, we propose strategies to better deal with
imbalance and integrate them into an existing AutoML framework. Finally, we
present a systematic study which evaluates the impact of these strategies and
find that their inclusion in AutoML systems significantly increases their
robustness against label imbalance.",Imbalanced Data Machine Learning,
Making Large Language Models Better Reasoners with Step-Aware Verifier,"Few-shot learning is a challenging task that requires language models to
generalize from limited examples. Large language models like GPT-3 and PaLM
have made impressive progress in this area, but they still face difficulties in
reasoning tasks such as GSM8K, a benchmark for arithmetic problems. To improve
their reasoning skills, previous work has proposed to guide the language model
with prompts that elicit a series of reasoning steps before giving the final
answer, achieving a significant improvement on GSM8K from 17.9% to 58.1% in
problem-solving rate. In this paper, we present DIVERSE (Diverse Verifier on
Reasoning Step), a novel approach that further enhances the reasoning
capability of language models. DIVERSE has three main components: first, it
generates diverse prompts to explore different reasoning paths for the same
question; second, it uses a verifier to filter out incorrect answers based on a
weighted voting scheme; and third, it verifies each reasoning step individually
instead of the whole chain. We evaluate DIVERSE on the latest language model
code-davinci-002 and show that it achieves new state-of-the-art results on six
of eight reasoning benchmarks (e.g., GSM8K 74.4% to 83.2%).",language models reasoning,
Building Inspection Toolkit: Unified Evaluation and Strong Baselines for Damage Recognition,"In recent years, several companies and researchers have started to tackle the
problem of damage recognition within the scope of automated inspection of built
structures. While companies are neither willing to publish associated data nor
models, researchers are facing the problem of data shortage on one hand and
inconsistent dataset splitting with the absence of consistent metrics on the
other hand. This leads to incomparable results. Therefore, we introduce the
building inspection toolkit -- bikit -- which acts as a simple to use data hub
containing relevant open-source datasets in the field of damage recognition.
The datasets are enriched with evaluation splits and predefined metrics,
suiting the specific task and their data distribution. For the sake of
compatibility and to motivate researchers in this domain, we also provide a
leaderboard and the possibility to share model weights with the community. As
starting point we provide strong baselines for multi-target classification
tasks utilizing extensive hyperparameter search using three transfer learning
approaches for state-of-the-art algorithms. The toolkit and the leaderboard are
available online.",building damage recognition,
PCQA-GRAPHPOINT: Efficients Deep-Based Graph Metric For Point Cloud Quality Assessment,"Following the advent of immersive technologies and the increasing interest in
representing interactive geometrical format, 3D Point Clouds (PC) have emerged
as a promising solution and effective means to display 3D visual information.
In addition to other challenges in immersive applications, objective and
subjective quality assessments of compressed 3D content remain open problems
and an area of research interest. Yet most of the efforts in the research area
ignore the local geometrical structures between points representation. In this
paper, we overcome this limitation by introducing a novel and efficient
objective metric for Point Clouds Quality Assessment, by learning local
intrinsic dependencies using Graph Neural Network (GNN). To evaluate the
performance of our method, two well-known datasets have been used. The results
demonstrate the effectiveness and reliability of our solution compared to
state-of-the-art metrics.",point cloud quality assessment,
LSNet: Extremely Light-Weight Siamese Network For Change Detection in Remote Sensing Image,"The Siamese network is becoming the mainstream in change detection of remote
sensing images (RSI). However, in recent years, the development of more
complicated structure, module and training processe has resulted in the
cumbersome model, which hampers their application in large-scale RSI
processing. To this end, this paper proposes an extremely lightweight Siamese
network (LSNet) for RSI change detection, which replaces standard convolution
with depthwise separable atrous convolution, and removes redundant dense
connections, retaining only valid feature flows while performing Siamese
feature fusion, greatly compressing parameters and computation amount. Compared
with the first-place model on the CCD dataset, the parameters and the
computation amount of LSNet is greatly reduced by 90.35\% and 91.34\%
respectively, with only a 1.5\% drops in accuracy.",lightweight siamese network,
Persuasion Strategies in Advertisements,"Modeling what makes an advertisement persuasive, i.e., eliciting the desired
response from consumer, is critical to the study of propaganda, social
psychology, and marketing. Despite its importance, computational modeling of
persuasion in computer vision is still in its infancy, primarily due to the
lack of benchmark datasets that can provide persuasion-strategy labels
associated with ads. Motivated by persuasion literature in social psychology
and marketing, we introduce an extensive vocabulary of persuasion strategies
and build the first ad image corpus annotated with persuasion strategies. We
then formulate the task of persuasion strategy prediction with multi-modal
learning, where we design a multi-task attention fusion model that can leverage
other ad-understanding tasks to predict persuasion strategies. Further, we
conduct a real-world case study on 1600 advertising campaigns of 30 Fortune-500
companies where we use our model's predictions to analyze which strategies work
with different demographics (age and gender). The dataset also provides image
segmentation masks, which labels persuasion strategies in the corresponding ad
images on the test split. We publicly release our code and dataset
https://midas-research.github.io/persuasion-advertisements/.",persuasion strategy prediction,
Effective Shortcut Technique for GAN,"In recent years, generative adversarial network (GAN)-based image generation
techniques design their generators by stacking up multiple residual blocks. The
residual block generally contains a shortcut, \ie skip connection, which
effectively supports information propagation in the network. In this paper, we
propose a novel shortcut method, called the gated shortcut, which not only
embraces the strength point of the residual block but also further boosts the
GAN performance. More specifically, based on the gating mechanism, the proposed
method leads the residual block to keep (or remove) information that is
relevant (or irrelevant) to the image being generated. To demonstrate that the
proposed method brings significant improvements in the GAN performance, this
paper provides extensive experimental results on the various standard datasets
such as CIFAR-10, CIFAR-100, LSUN, and tiny-ImageNet. Quantitative evaluations
show that the gated shortcut achieves the impressive GAN performance in terms
of Frechet inception distance (FID) and Inception score (IS). For instance, the
proposed method improves the FID and IS scores on the tiny-ImageNet dataset
from 35.13 to 27.90 and 20.23 to 23.42, respectively.",generative adversarial network,
$\mathcal{Y}$-Tuning: An Efficient Tuning Paradigm for Large-Scale Pre-Trained Models via Label Representation Learning,"With the success of large-scale pre-trained models (PTMs), how efficiently
adapting PTMs to downstream tasks has attracted tremendous attention,
especially for PTMs with billions of parameters. Although some
parameter-efficient tuning paradigms have been proposed to address this
problem, they still require large resources to compute the gradients in the
training phase. In this paper, we propose $\mathcal{Y}$-Tuning, an efficient
yet effective paradigm to adapt frozen large-scale PTMs to specific downstream
tasks. $\mathcal{Y}$-tuning learns dense representations for labels
$\mathcal{Y}$ defined in a given task and aligns them to fixed feature
representation. Without tuning the features of input text and model parameters,
$\mathcal{Y}$-tuning is both parameter-efficient and training-efficient. For
$\text{DeBERTa}_\text{XXL}$ with 1.6 billion parameters, $\mathcal{Y}$-tuning
achieves performance more than $96\%$ of full fine-tuning on GLUE Benchmark
with only $2\%$ tunable parameters and much fewer training costs.",parameter-efficient tuning ,
Towards Effective Image Manipulation Detection with Proposal Contrastive Learning,"Deep models have been widely and successfully used in image manipulation
detection, which aims to classify tampered images and localize tampered
regions. Most existing methods mainly focus on extracting global features from
tampered images, while neglecting the relationships of local features between
tampered and authentic regions within a single tampered image. To exploit such
spatial relationships, we propose Proposal Contrastive Learning (PCL) for
effective image manipulation detection. Our PCL consists of a two-stream
architecture by extracting two types of global features from RGB and noise
views respectively. To further improve the discriminative power, we exploit the
relationships of local features through a proxy proposal contrastive learning
task by attracting/repelling proposal-based positive/negative sample pairs.
Moreover, we show that our PCL can be easily adapted to unlabeled data in
practice, which can reduce manual labeling costs and promote more generalizable
features. Extensive experiments among several standard datasets demonstrate
that our PCL can be a general module to obtain consistent improvement. The code
is available at https://github.com/Sandy-Zeng/PCL.",image manipulation detection,
ReAFFPN: Rotation-equivariant Attention Feature Fusion Pyramid Networks for Aerial Object Detection,"This paper proposes a Rotation-equivariant Attention Feature Fusion Pyramid
Networks for Aerial Object Detection named ReAFFPN. ReAFFPN aims at improving
the effect of rotation-equivariant features fusion between adjacent layers
which suffers from the semantic and scale discontinuity. Due to the
particularity of rotational equivariant convolution, general methods are unable
to achieve their original effect while ensuring rotation equivariance of the
network. To solve this problem, we design a new Rotation-equivariant Channel
Attention which has the ability to both generate channel attention and keep
rotation equivariance. Then we embed a new channel attention function into
Iterative Attentional Feature Fusion (iAFF) module to realize
Rotation-equivariant Attention Feature Fusion. Experimental results demonstrate
that ReAFFPN achieves a better rotation-equivariant feature fusion ability and
significantly improve the accuracy of the Rotation-equivariant Convolutional
Networks.",rotation-equivariant feature fusion,
Lexical Complexity Controlled Sentence Generation,"Text generation rarely considers the control of lexical complexity, which
limits its more comprehensive practical application. We introduce a novel task
of lexical complexity controlled sentence generation, which aims at keywords to
sentence generation with desired complexity levels. It has enormous potential
in domains such as grade reading, language teaching and acquisition. The
challenge of this task is to generate fluent sentences only using the words of
given complexity levels. We propose a simple but effective approach for this
task based on complexity embedding. Compared with potential solutions, our
approach fuses the representations of the word complexity levels into the model
to get better control of lexical complexity. And we demonstrate the feasibility
of the approach for both training models from scratch and fine-tuning the
pre-trained models. To facilitate the research, we develop two datasets in
English and Chinese respectively, on which extensive experiments are conducted.
Results show that our approach better controls lexical complexity and generates
higher quality sentences than baseline methods.",Text generation,
Defense against adversarial attacks on deep convolutional neural networks through nonlocal denoising,"Despite substantial advances in network architecture performance, the
susceptibility of adversarial attacks makes deep learning challenging to
implement in safety-critical applications. This paper proposes a data-centric
approach to addressing this problem. A nonlocal denoising method with different
luminance values has been used to generate adversarial examples from the
Modified National Institute of Standards and Technology database (MNIST) and
Canadian Institute for Advanced Research (CIFAR-10) data sets. Under
perturbation, the method provided absolute accuracy improvements of up to 9.3%
in the MNIST data set and 13% in the CIFAR-10 data set. Training using
transformed images with higher luminance values increases the robustness of the
classifier. We have shown that transfer learning is disadvantageous for
adversarial machine learning. The results indicate that simple adversarial
examples can improve resilience and make deep learning easier to apply in
various applications.",adversarial attacks Defense,
MaNLP@SMM4H22: BERT for Classification of Twitter Posts,"The reported work is our straightforward approach for the shared task
Classification of tweets self-reporting age organized by the Social Media
Mining for Health Applications (SMM4H) workshop. This literature describes the
approach that was used to build a binary classification system, that classifies
the tweets related to birthday posts into two classes namely, exact
age(positive class) and non-exact age(negative class). We made two submissions
with variations in the preprocessing of text which yielded F1 scores of 0.80
and 0.81 when evaluated by the organizers.",Twitter post classification,
The Massively Multilingual Natural Language Understanding 2022 (MMNLU-22) Workshop and Competition,"Despite recent progress in Natural Language Understanding (NLU), the creation
of multilingual NLU systems remains a challenge. It is common to have NLU
systems limited to a subset of languages due to lack of available data. They
also often vary widely in performance. We launch a three-phase approach to
address the limitations in NLU and help propel NLU technology to new heights.
We release a 52 language dataset called the Multilingual Amazon SLU resource
package (SLURP) for Slot-filling, Intent classification, and Virtual assistant
Evaluation, or MASSIVE, in an effort to address parallel data availability for
voice assistants. We organize the Massively Multilingual NLU 2022 Challenge to
provide a competitive environment and push the state-of-the art in the
transferability of models into other languages. Finally, we host the first
Massively Multilingual NLU workshop which brings these components together. The
MMNLU workshop seeks to advance the science behind multilingual NLU by
providing a platform for the presentation of new research in the field and
connecting teams working on this research direction. This paper summarizes the
dataset, workshop and the competition and the findings of each phase.",multilingual natural language understanding,
Cluster & Tune: Boost Cold Start Performance in Text Classification,"In real-world scenarios, a text classification task often begins with a cold
start, when labeled data is scarce. In such cases, the common practice of
fine-tuning pre-trained models, such as BERT, for a target classification task,
is prone to produce poor performance. We suggest a method to boost the
performance of such models by adding an intermediate unsupervised
classification task, between the pre-training and fine-tuning phases. As such
an intermediate task, we perform clustering and train the pre-trained model on
predicting the cluster labels. We test this hypothesis on various data sets,
and show that this additional classification phase can significantly improve
performance, mainly for topical classification tasks, when the number of
labeled instances available for fine-tuning is only a couple of dozen to a few
hundred.",text classification,
GPTs at Factify 2022: Prompt Aided Fact-Verification,"One of the most pressing societal issues is the fight against false news. The
false claims, as difficult as they are to expose, create a lot of damage. To
tackle the problem, fact verification becomes crucial and thus has been a topic
of interest among diverse research communities. Using only the textual form of
data we propose our solution to the problem and achieve competitive results
with other approaches. We present our solution based on two approaches - PLM
(pre-trained language model) based method and Prompt based method. The
PLM-based approach uses the traditional supervised learning, where the model is
trained to take 'x' as input and output prediction 'y' as P(y|x). Whereas,
Prompt-based learning reflects the idea to design input to fit the model such
that the original objective may be re-framed as a problem of (masked) language
modeling. We may further stimulate the rich knowledge provided by PLMs to
better serve downstream tasks by employing extra prompts to fine-tune PLMs. Our
experiments showed that the proposed method performs better than just
fine-tuning PLMs. We achieved an F1 score of 0.6946 on the FACTIFY dataset and
a 7th position on the competition leader-board.",fact verification,
PET: An Annotated Dataset for Process Extraction from Natural Language Text,"Process extraction from text is an important task of process discovery, for
which various approaches have been developed in recent years. However, in
contrast to other information extraction tasks, there is a lack of
gold-standard corpora of business process descriptions that are carefully
annotated with all the entities and relationships of interest. Due to this, it
is currently hard to compare the results obtained by extraction approaches in
an objective manner, whereas the lack of annotated texts also prevents the
application of data-driven information extraction methodologies, typical of the
natural language processing field. Therefore, to bridge this gap, we present
the PET dataset, a first corpus of business process descriptions annotated with
activities, gateways, actors, and flow information. We present our new
resource, including a variety of baselines to benchmark the difficulty and
challenges of business process extraction from text. PET can be accessed via
huggingface.co/datasets/patriziobellan/PET",process discovery,
WildQA: In-the-Wild Video Question Answering,"Existing video understanding datasets mostly focus on human interactions,
with little attention being paid to the ""in the wild"" settings, where the
videos are recorded outdoors. We propose WILDQA, a video understanding dataset
of videos recorded in outside settings. In addition to video question answering
(Video QA), we also introduce the new task of identifying visual support for a
given question and answer (Video Evidence Selection). Through evaluations using
a wide range of baseline models, we show that WILDQA poses new challenges to
the vision and language research communities. The dataset is available at
https://lit.eecs.umich.edu/wildqa/.",video question answering,
CodeRetriever: Unimodal and Bimodal Contrastive Learning for Code Search,"In this paper, we propose the CodeRetriever model, which learns the
function-level code semantic representations through large-scale code-text
contrastive pre-training. We adopt two contrastive learning schemes in
CodeRetriever: unimodal contrastive learning and bimodal contrastive learning.
For unimodal contrastive learning, we design an unsupervised learning approach
to build semantic-related code pairs based on the documentation and function
name. For bimodal contrastive learning, we leverage the documentation and
in-line comments of code to build code-text pairs. Both contrastive objectives
can fully leverage large-scale code corpus for pre-training. Extensive
experimental results show that CodeRetriever achieves new state-of-the-art with
significant improvement over existing code pre-trained models, on eleven
domain/language-specific code search tasks with six programming languages in
different code granularity (function-level, snippet-level and statement-level).
These results demonstrate the effectiveness and robustness of CodeRetriever.",code pre-trained models,
IIITDWD-ShankarB@ Dravidian-CodeMixi-HASOC2021: mBERT based model for identification of offensive content in south Indian languages,"In recent years, there has been a lot of focus on offensive content. The
amount of offensive content generated by social media is increasing at an
alarming rate. This created a greater need to address this issue than ever
before. To address these issues, the organizers of ""Dravidian-Code Mixed
HASOC-2020"" have created two challenges. Task 1 involves identifying offensive
content in Malayalam data, whereas Task 2 includes Malayalam and Tamil Code
Mixed Sentences. Our team participated in Task 2. In our suggested model, we
experiment with multilingual BERT to extract features, and three different
classifiers are used on extracted features. Our model received a weighted F1
score of 0.70 for Malayalam data and was ranked fifth; we also received a
weighted F1 score of 0.573 for Tamil Code Mixed data and were ranked eleventh.",offensive content detection,
The KITMUS Test: Evaluating Knowledge Integration from Multiple Sources in Natural Language Understanding Systems,"Many state-of-the-art natural language understanding (NLU) models are based
on pretrained neural language models. These models often make inferences using
information from multiple sources. An important class of such inferences are
those that require both background knowledge, presumably contained in a model's
pretrained parameters, and instance-specific information that is supplied at
inference time. However, the integration and reasoning abilities of NLU models
in the presence of multiple knowledge sources have been largely understudied.
In this work, we propose a test suite of coreference resolution subtasks that
require reasoning over multiple facts. These subtasks differ in terms of which
knowledge sources contain the relevant facts. We also introduce subtasks where
knowledge is present only at inference time using fictional knowledge. We
evaluate state-of-the-art coreference resolution models on our dataset. Our
results indicate that several models struggle to reason on-the-fly over
knowledge observed both at pretrain time and at inference time. However, with
task-specific training, a subset of models demonstrates the ability to
integrate certain knowledge types from multiple sources. Still, even the best
performing models seem to have difficulties with reliably integrating knowledge
presented only at inference time.",natural language understanding,
HINT: Hypernetwork Instruction Tuning for Efficient Zero- & Few-Shot Generalisation,"Recent NLP models have shown the remarkable ability to effectively generalise
`zero-shot' to new tasks using only natural language instructions as guidance.
However, many of these approaches suffer from high computational costs due to
their reliance on concatenating lengthy instructions with every input example,
resulting in costly reprocessing of the instruction. To avoid this, we
introduce Hypernetworks for INstruction Tuning (HINT), which convert task
instructions and examples into parameter-efficient modules inserted into an
underlying model using a pretrained text encoder, eliminating the need to
include instructions in the model input. The hypernetwork in HINT also produces
an encoded instruction, which we concatenate with encoded inputs during
decoding to further improve performance. HINT models outperform strong
state-of-the-art baselines by over 10% when controlling for compute (measured
in FLOPs). By converting instructions into modules, HINT models can effectively
disregard the length of instructions and few-shot example inputs in terms of
compute usage. As a result, HINT can enhance its performance by up to 25% by
incorporating additional few-shot data, while utilizing only up to 5% more
compute. This combines the strengths of parameter-efficient fine-tuning and
in-context learning.",Few-Shot Generalization,
Many Episode Learning in a Modular Embodied Agent via End-to-End Interaction,"In this work we give a case study of an embodied machine-learning (ML)
powered agent that improves itself via interactions with crowd-workers. The
agent consists of a set of modules, some of which are learned, and others
heuristic. While the agent is not ""end-to-end"" in the ML sense, end-to-end
interaction is a vital part of the agent's learning mechanism. We describe how
the design of the agent works together with the design of multiple annotation
interfaces to allow crowd-workers to assign credit to module errors from
end-to-end interactions, and to label data for individual modules. Over
multiple automated human-agent interaction, credit assignment, data annotation,
and model re-training and re-deployment, rounds we demonstrate agent
improvement.",embodied machine-learning,
MeSHup: A Corpus for Full Text Biomedical Document Indexing,"Medical Subject Heading (MeSH) indexing refers to the problem of assigning a
given biomedical document with the most relevant labels from an extremely large
set of MeSH terms. Currently, the vast number of biomedical articles in the
PubMed database are manually annotated by human curators, which is time
consuming and costly; therefore, a computational system that can assist the
indexing is highly valuable. When developing supervised MeSH indexing systems,
the availability of a large-scale annotated text corpus is desirable. A
publicly available, large corpus that permits robust evaluation and comparison
of various systems is important to the research community. We release a large
scale annotated MeSH indexing corpus, MeSHup, which contains 1,342,667 full
text articles in English, together with the associated MeSH labels and
metadata, authors, and publication venues that are collected from the MEDLINE
database. We train an end-to-end model that combines features from documents
and their associated labels on our corpus and report the new baseline.",Medical Subject Heading indexing,
Numerical Optimizations for Weighted Low-rank Estimation on Language Model,"Singular value decomposition (SVD) is one of the most popular compression
methods that approximate a target matrix with smaller matrices. However,
standard SVD treats the parameters within the matrix with equal importance,
which is a simple but unrealistic assumption. The parameters of a trained
neural network model may affect task performance unevenly, which suggests
non-equal importance among the parameters. Compared to SVD, the decomposition
method aware of parameter importance is the more practical choice in real
cases. Unlike standard SVD, weighted value decomposition is a non-convex
optimization problem that lacks a closed-form solution. We systematically
investigated multiple optimization strategies to tackle the problem and
examined our method by compressing Transformer-based language models. Further,
we designed a metric to predict when the SVD may introduce a significant
performance drop, for which our method can be a rescue strategy. The extensive
evaluations demonstrate that our method can perform better than current SOTA
methods in compressing Transformer-based language models.",Singular value decomposition,
Labeling instructions matter in biomedical image analysis,"Biomedical image analysis algorithm validation depends on high-quality
annotation of reference datasets, for which labeling instructions are key.
Despite their importance, their optimization remains largely unexplored. Here,
we present the first systematic study of labeling instructions and their impact
on annotation quality in the field. Through comprehensive examination of
professional practice and international competitions registered at the MICCAI
Society, we uncovered a discrepancy between annotators' needs for labeling
instructions and their current quality and availability. Based on an analysis
of 14,040 images annotated by 156 annotators from four professional companies
and 708 Amazon Mechanical Turk (MTurk) crowdworkers using instructions with
different information density levels, we further found that including exemplary
images significantly boosts annotation performance compared to text-only
descriptions, while solely extending text descriptions does not. Finally,
professional annotators constantly outperform MTurk crowdworkers. Our study
raises awareness for the need of quality standards in biomedical image analysis
labeling instructions.",biomedical image analysis,
Neural Graphical Models,"Probabilistic Graphical Models are often used to understand dynamics of a
system. They can model relationships between features (nodes) and the
underlying distribution. Theoretically these models can represent very complex
dependency functions, but in practice often simplifying assumptions are made
due to computational limitations associated with graph operations. In this work
we introduce Neural Graphical Models (NGMs) which attempt to represent complex
feature dependencies with reasonable computational costs. Given a graph of
feature relationships and corresponding samples, we capture the dependency
structure between the features along with their complex function
representations by using a neural network as a multi-task learning framework.
We provide efficient learning, inference and sampling algorithms. NGMs can fit
generic graph structures including directed, undirected and mixed-edge graphs
as well as support mixed input data types. We present empirical studies that
show NGMs' capability to represent Gaussian graphical models, perform inference
analysis of a lung cancer data and extract insights from a real world infant
mortality data provided by Centers for Disease Control and Prevention.",Probabilistic Graphical Models,
